epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6074,1.85337,5.33943,1.0396,0.68563,0.13789,0.17366,0.12099,1.3054,2.68604,0.8515,6.57407e-05,6.57407e-05,6.57407e-05
2,39.701,1.58846,2.93148,0.93041,0.52184,0.37452,0.34044,0.21762,1.29102,2.1188,0.86496,0.000131097,0.000131097,0.000131097
3,56.8388,1.51595,2.23357,0.92116,0.60421,0.36026,0.42693,0.25817,1.36808,1.79345,0.8711,0.000195132,0.000195132,0.000195132
4,74.0557,1.4441,1.9713,0.91178,0.42332,0.49064,0.4637,0.30439,1.21156,1.71337,0.86022,0.00019406,0.00019406,0.00019406
5,92.2329,1.38946,1.68539,0.90087,0.57137,0.45507,0.49327,0.31013,1.25866,1.43918,0.86697,0.00019208,0.00019208,0.00019208
6,110.034,1.34472,1.53079,0.88658,0.47925,0.55395,0.63455,0.42658,1.22563,1.20476,0.85446,0.0001901,0.0001901,0.0001901
7,128.137,1.34913,1.4504,0.89274,0.74314,0.4728,0.6033,0.3784,1.23866,1.37706,0.85733,0.00018812,0.00018812,0.00018812
8,144.857,1.35507,1.41524,0.89041,0.52915,0.60706,0.61921,0.41352,1.09444,1.25656,0.84179,0.00018614,0.00018614,0.00018614
9,161.713,1.26684,1.32089,0.86948,0.80498,0.49125,0.66228,0.43806,1.19098,1.07628,0.8495,0.00018416,0.00018416,0.00018416
10,179.751,1.25776,1.21734,0.87246,0.64259,0.56591,0.67151,0.45792,1.12309,1.09922,0.83871,0.00018218,0.00018218,0.00018218
11,198,1.25668,1.17701,0.87629,0.58426,0.63538,0.67575,0.43566,1.11397,1.08459,0.83483,0.0001802,0.0001802,0.0001802
12,215.234,1.24202,1.10854,0.87004,0.75235,0.54524,0.70271,0.4903,0.95139,0.97913,0.81443,0.00017822,0.00017822,0.00017822
13,233.773,1.21032,1.07342,0.86903,0.64689,0.71498,0.77154,0.50658,1.16079,0.97891,0.84133,0.00017624,0.00017624,0.00017624
14,252.068,1.1589,1.01352,0.85984,0.58846,0.76506,0.79442,0.51315,1.18873,1.06892,0.84496,0.00017426,0.00017426,0.00017426
15,270.417,1.18651,1.03016,0.86107,0.667,0.72896,0.80564,0.56465,0.93546,0.89332,0.80807,0.00017228,0.00017228,0.00017228
16,288.947,1.17578,1.03237,0.85496,0.67012,0.67798,0.81322,0.56056,0.98248,0.90774,0.81356,0.0001703,0.0001703,0.0001703
17,306.115,1.16987,0.93657,0.85804,0.69047,0.7112,0.80147,0.55702,1.01764,0.84885,0.81705,0.00016832,0.00016832,0.00016832
18,323.361,1.13897,0.93124,0.85039,0.83017,0.7106,0.85812,0.59078,1.07025,0.7853,0.82707,0.00016634,0.00016634,0.00016634
19,341.84,1.12175,0.89833,0.84993,0.63976,0.76488,0.84779,0.61365,0.87529,0.7298,0.80015,0.00016436,0.00016436,0.00016436
20,360.099,1.14893,0.89948,0.85269,0.82504,0.74976,0.89003,0.65991,0.87333,0.74516,0.79719,0.00016238,0.00016238,0.00016238
21,378.304,1.12637,0.85891,0.85111,0.73669,0.75761,0.85826,0.61869,0.95521,0.80359,0.8137,0.0001604,0.0001604,0.0001604
22,395.368,1.0974,0.83471,0.84782,0.83306,0.70399,0.89072,0.64418,0.90431,0.74605,0.80076,0.00015842,0.00015842,0.00015842
23,412.289,1.05794,0.79538,0.84502,0.72441,0.76512,0.87658,0.61129,0.95847,0.77227,0.80378,0.00015644,0.00015644,0.00015644
24,429.213,1.03926,0.7792,0.83934,0.72021,0.76398,0.87027,0.60552,1.07033,0.77215,0.82088,0.00015446,0.00015446,0.00015446
25,446.036,1.10304,0.80401,0.84491,0.74856,0.79092,0.86975,0.64853,0.82644,0.79694,0.79241,0.00015248,0.00015248,0.00015248
26,463.003,1.05281,0.7702,0.83724,0.82185,0.76706,0.88946,0.61884,1.00539,0.6769,0.81365,0.0001505,0.0001505,0.0001505
27,480.033,1.02837,0.72803,0.84615,0.78824,0.74871,0.89989,0.66044,0.90541,0.78011,0.80304,0.00014852,0.00014852,0.00014852
28,498.501,1.03502,0.74043,0.84003,0.77102,0.78677,0.89453,0.65371,0.9394,0.78184,0.81218,0.00014654,0.00014654,0.00014654
29,515.376,1.01615,0.71026,0.8366,0.72867,0.86246,0.91638,0.66682,0.9341,0.66175,0.80266,0.00014456,0.00014456,0.00014456
30,534.943,1.01991,0.72233,0.83739,0.8086,0.70664,0.85524,0.61778,0.88234,0.74064,0.79575,0.00014258,0.00014258,0.00014258
31,551.902,1.01857,0.71413,0.83459,0.73173,0.80184,0.86772,0.63505,0.90921,0.76155,0.80293,0.0001406,0.0001406,0.0001406
32,569.072,0.99526,0.70437,0.83299,0.76837,0.82978,0.93662,0.68217,0.81041,0.63987,0.78744,0.00013862,0.00013862,0.00013862
33,587.885,0.96159,0.65378,0.83047,0.83882,0.84649,0.91405,0.68915,0.83965,0.64334,0.79803,0.00013664,0.00013664,0.00013664
34,606.641,0.98803,0.669,0.83266,0.80191,0.82019,0.90518,0.63624,0.96742,0.72221,0.81244,0.00013466,0.00013466,0.00013466
35,623.89,0.98053,0.6557,0.83237,0.82271,0.83701,0.92748,0.67766,0.88449,0.61025,0.79888,0.00013268,0.00013268,0.00013268
36,641.069,0.96077,0.66418,0.82439,0.93306,0.77258,0.96028,0.71913,0.87272,0.59903,0.80183,0.0001307,0.0001307,0.0001307
37,659.584,0.95183,0.65043,0.82457,0.79864,0.79314,0.89027,0.65237,0.89772,0.67095,0.79475,0.00012872,0.00012872,0.00012872
38,676.878,0.93279,0.61829,0.82787,0.86541,0.77849,0.93295,0.69657,0.86062,0.64209,0.79589,0.00012674,0.00012674,0.00012674
39,693.884,0.96334,0.6434,0.83456,0.86852,0.81756,0.91979,0.68718,0.85634,0.65953,0.80059,0.00012476,0.00012476,0.00012476
40,710.962,0.92439,0.59491,0.8244,0.83874,0.82789,0.91993,0.66489,0.93723,0.67727,0.80722,0.00012278,0.00012278,0.00012278
41,728.269,0.91304,0.60972,0.82024,0.73064,0.87767,0.91237,0.69454,0.75295,0.61749,0.78535,0.0001208,0.0001208,0.0001208
42,745.532,0.90282,0.59174,0.821,0.7954,0.86094,0.93677,0.71048,0.83027,0.61121,0.80136,0.00011882,0.00011882,0.00011882
43,762.5,0.90687,0.59157,0.81622,0.80239,0.82816,0.92302,0.69687,0.77923,0.6357,0.78611,0.00011684,0.00011684,0.00011684
