               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.3876,              6.8801,              1.3811,             0.31542,             0.30801,             0.17273,             0.12758,                   0,                   0,                   0,            0.070417,            0.003287,            0.003287
                   1,              2.2496,              4.3033,              1.2427,             0.43342,              0.2725,              0.2811,              0.1757,                   0,                   0,                   0,            0.040351,           0.0065548,           0.0065548
                   2,              2.3687,              4.0069,              1.2592,             0.29616,             0.34135,             0.25695,             0.15208,                   0,                   0,                   0,             0.01022,           0.0097566,           0.0097566
                   3,              2.3352,               3.767,              1.2636,             0.50275,             0.25104,             0.22571,             0.13142,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.4023,              3.5866,              1.2734,             0.53207,             0.33294,             0.31582,             0.18919,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.3547,               3.242,              1.2636,             0.57306,             0.27735,             0.30073,             0.19179,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.3006,              3.1632,              1.2676,             0.42747,             0.36709,             0.34923,             0.18064,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               2.343,              3.0555,              1.2636,             0.44837,             0.39789,              0.3999,             0.26273,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.2714,              2.8741,              1.2412,             0.55627,             0.37431,             0.42498,             0.26277,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.2121,              2.7937,              1.2426,             0.60948,             0.35994,             0.44359,             0.28072,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.2511,              2.7692,              1.2165,             0.54587,              0.4559,               0.525,             0.27095,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.1636,              2.5694,              1.2171,             0.43856,             0.55642,             0.50496,             0.28846,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.1607,              2.5865,              1.2182,             0.54109,             0.41364,              0.5005,             0.28047,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.0869,              2.4564,              1.2026,             0.53546,             0.47436,             0.54158,             0.32967,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.0865,              2.4453,              1.1972,             0.62574,             0.47557,             0.57336,             0.35107,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.0696,              2.4106,              1.2074,             0.55129,             0.56965,             0.60756,             0.36702,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.0612,              2.3343,              1.1817,             0.58872,             0.53321,             0.53461,             0.34281,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.0854,              2.3824,              1.1734,             0.50537,             0.50891,             0.53691,             0.33205,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.0138,              2.2881,              1.1721,             0.47041,             0.58488,             0.60765,             0.39564,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.0006,              2.2498,              1.1946,             0.68454,             0.53122,             0.66475,             0.41605,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.9799,              2.1908,              1.1768,             0.61125,             0.54885,             0.63124,             0.37134,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,               1.975,              2.2244,              1.1724,             0.56886,             0.64423,             0.66809,             0.40315,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.9568,              2.1214,               1.164,             0.52519,             0.67587,             0.69858,             0.42128,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.9445,              2.1014,              1.1623,             0.56388,             0.58711,             0.67086,             0.37941,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,               1.958,              2.0504,              1.1718,             0.47783,             0.68704,              0.7094,             0.43518,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              1.8731,              1.9677,              1.1478,              0.7118,             0.55884,             0.73285,             0.45593,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.8593,              1.9382,                1.14,             0.54012,             0.63885,             0.69321,             0.45418,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.8687,              1.9566,              1.1447,             0.48493,             0.72107,             0.72428,             0.45046,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.9002,              1.9332,              1.1557,             0.58834,             0.64634,             0.68822,             0.46616,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.8327,              1.8572,              1.1525,              0.4878,             0.72248,             0.72132,             0.45667,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.8334,              1.8646,              1.1417,             0.64985,             0.57873,              0.6782,             0.45081,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.8381,              1.8357,              1.1407,              0.4867,             0.72251,             0.71072,             0.46204,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.8128,              1.8153,              1.1351,               0.649,             0.68556,             0.81772,             0.49192,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.8498,              1.7997,              1.1442,             0.58718,             0.73916,             0.79154,             0.48894,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.8331,              1.7568,              1.1248,             0.55632,             0.69769,             0.71559,             0.45076,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.7853,              1.7348,              1.1263,             0.69628,             0.65232,             0.75716,             0.48543,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.7886,              1.7222,              1.1291,             0.67264,             0.65108,             0.78434,             0.48859,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.7771,              1.7065,              1.1224,             0.73621,             0.67708,             0.80026,             0.51251,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.7606,              1.6612,              1.1301,             0.76491,             0.61646,              0.7798,             0.50929,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.7394,              1.6446,              1.1157,             0.62196,             0.68527,             0.76971,             0.51896,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,               1.744,              1.6788,              1.1132,             0.68308,             0.69774,             0.75532,             0.49553,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.6957,              1.6129,              1.1155,             0.65912,             0.77003,             0.82973,             0.57794,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.7155,              1.6134,              1.1166,             0.80383,             0.73698,             0.83053,             0.57063,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.7415,              1.5911,              1.1136,             0.76366,             0.67794,             0.83225,             0.55433,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
